

|d|2019-01-08 21:44:18.379621
|h|2019-01-08 21:45:34.994477


|h|2019-01-08 21:47:03.712123
|f|2019-01-08 21:47:43.940136
|d|2019-01-08 21:47:52.660413





|m|2019-01-08 21:58:07.733743
|b|2019-01-08 21:58:17.480720
|t|2019-01-08 22:06:14.425664
|c|2019-01-08 22:06:42.903729
|l|2019-01-08 22:08:01.606202
|c|2019-01-08 22:17:47.260299
|s|2019-01-08 22:48:08.001982
|n|2019-01-08 22:48:14.673535
|s|2019-01-08 22:48:59.452302
|h|2019-01-08 22:49:15.795332
|t|2019-01-08 22:50:00.513521
|t|2019-01-08 22:50:04.148611
|c|2019-01-08 22:55:08.015509
